Buchungskreis;Hauptbuchkonto;Geschäftsjahr;Buchungsperiode;Belegart;Belegnummer;Buchungsdatum;Belegdatum;Text;Soll/Haben-Kennz.;Buchungsschlüssel;Betrag in Hauswährung;Kostenstelle;Auftrag;PSP-Element;Einkaufsbeleg;Steuerkennzeichen;Geschäftsbereich;Ausgleichsbeleg;Konto Gegenbuchung;Material
001;7108000;2025;1;WA;270000129;06.01.2025;06.01.2025;"KST             50 ST ;";S;81;72,48;10070000;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000129;06.01.2025;06.01.2025;"KST             25 ST ;";S;81;5,66;10070000;;;;;;;759004;Y-6508RM
001;7108000;2025;1;WA;270000167;07.01.2025;07.01.2025;"KST              1 ST ;Ronmedaillon";S;81;0,98;10070000;;;;;;;759004;Y-6564RM
001;7108000;2025;1;WA;270000167;07.01.2025;07.01.2025;"KST              1 ST ;Zettelbox";S;81;1,18;10070000;;;;;;;759004;Y-6529RM
001;7108000;2025;1;WA;270000167;07.01.2025;07.01.2025;"KST              1 ST ;Tasse BARMER - Regionales M";S;81;4,61;10070000;;;;;;;759004;Y-6572RM
001;7108000;2025;1;WA;270000183;07.01.2025;07.01.2025;"KST             10 ST ;";S;81;14,50;82001244;;;;;;;759004;Y-6530RM
001;7108000;2025;1;KP;30125363;09.01.2025;08.01.2025;"FZF Stretz, B.; Werber, VA GAP Azubitraining-Schok";S;40;29,11;32070800;;;;N0;;;6009442;
001;7108000;2025;1;WA;270000286;09.01.2025;09.01.2025;"KST            500 ST ;";S;81;187,66;10063000;;;;;;;759004;Y-6523DPAG
001;7108000;2025;1;KF;30128196;10.01.2025;08.01.2025;Mitgliedsbeitrag 2025;S;40;600,00;23500200;;;;N0;;;818950;
001;7108000;2025;1;KF;30128264;10.01.2025;20.12.2024;BVMW Mitgliedsbeitrag 01-12/2025;S;40;843,12;36030100;;;;N0;;;806059;
001;7108000;2025;1;KF;30128315;10.01.2025;16.12.2024;Mitgliedsbeitrag 2025;S;40;180,00;11020000;;;;N0;;;818531;
001;7108000;2025;1;WA;270000314;10.01.2025;10.01.2025;"KST              2 ST ;";S;81;1,92;32040600;;;;;;;759004;Y-6670RM
001;7108000;2025;1;WA;270000314;10.01.2025;10.01.2025;"KST             10 ST ;";S;81;8,80;32040600;;;;;;;759004;Y-6510RM
001;7108000;2025;1;WA;270000329;10.01.2025;10.01.2025;MSP-Item 4781;S;81;2,64;19530001;;;;;;;759004;Y-6555RM
001;7108000;2025;1;WA;270000331;10.01.2025;10.01.2025;"951            200 ST ;Holz-Milchzahndose - Team B";S;81;347,48;34031600;;;;;;;759004;Y-6676B2B
001;7108000;2025;1;WA;270000334;10.01.2025;10.01.2025;"KST              1 ST ;Babyalbum Softcover";S;81;4,70;10061000;;;;;;;759004;Y-7923
001;7108000;2025;1;WA;270000339;10.01.2025;10.01.2025;"KST             20 ST ;";S;81;28,99;32020400;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000367;10.01.2025;10.01.2025;"KST              2 ST ;";S;81;1,92;10070000;;;;;;;759004;Y-6670RM
001;7108000;2025;1;WA;270000367;10.01.2025;10.01.2025;"KST              8 ST ;";S;81;11,60;10070000;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000367;10.01.2025;10.01.2025;"KST              1 ST ;";S;81;0,36;10070000;;;;;;;759004;Y-6513RM
001;7108000;2025;1;KP;30133503;13.01.2025;10.01.2025;BVMW Business Lounge Tickets;S;40;30,00;31031500;;;;N0;;;6023235;
001;7108000;2025;1;WA;270000392;13.01.2025;13.01.2025;"KST              5 ST ;";S;81;7,25;10840000;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000470;14.01.2025;14.01.2025;"KST             20 ST ;";S;81;19,18;316680;;;;;;;759004;Y-6670RM
001;7108000;2025;1;WA;270000470;14.01.2025;14.01.2025;"KST             10 ST ;";S;81;3,62;316680;;;;;;;759004;Y-6513RM
001;7108000;2025;1;WA;270000470;14.01.2025;14.01.2025;"KST             45 ST ;";S;81;39,61;316680;;;;;;;759004;Y-6510RM
001;7108000;2025;1;KP;30140691;15.01.2025;15.01.2025;Erstattung Mitgliedsbeiträge 2025 Netzwerk Rotary;S;40;400,00;36031800;;;;N0;;;6022673;
001;7108000;2025;1;KF;30141047;15.01.2025;13.01.2025;BMC-Kongress 28./29.01.2025 Berlin;S;40;450,00;11010050;;;;N0;;;805001;
001;7108000;2025;1;KF;30141125;15.01.2025;15.01.2025;Werbevereinbarung // Otris Vertragsnummer: 13842;S;40;2.500,00;10062000;;;;N0;;;14687;
001;7108000;2025;1;WA;270000514;15.01.2025;15.01.2025;"202              2 ST ;Erste Hilfe Set - Regionale";H;91;-2,64;19530001;;;;;;;759004;Y-6555RM
001;7108000;2025;1;WA;270000515;15.01.2025;15.01.2025;"KST              2 ST ;Erste Hilfe Set - Regionale";S;81;2,64;19530001;;;;;;;759004;Y-6555RM
001;7108000;2025;1;KP;30146542;16.01.2025;15.01.2025;Erstattung LinkedIn Premium;S;40;401,14;10064000;;;;N0;;;6023075;
001;7108000;2025;1;WA;270000570;16.01.2025;16.01.2025;"KST             50 ST ;";S;81;52,96;10062000;;;;;;;759004;Y-6501_BGM
001;7108000;2025;1;WA;270000570;16.01.2025;16.01.2025;"KST             50 ST ;";S;81;63,01;10062000;;;;;;;759004;Y-6502_BGM
001;7108000;2025;1;WA;270000570;16.01.2025;16.01.2025;"KST            100 ST ;";S;81;169,69;10062000;;;;;;;759004;Y-6525_BGM
001;7108000;2025;1;WA;270000570;16.01.2025;16.01.2025;"KST            100 ST ;";S;81;233,61;10062000;;;;;;;759004;Y-6557_BGM
001;7108000;2025;1;WA;270000583;16.01.2025;16.01.2025;"KST              5 ST ;";S;81;4,40;34060200;;;;;;;759004;Y-6510RM
001;7108000;2025;1;WA;270000583;16.01.2025;16.01.2025;"KST              5 ST ;";S;81;1,81;34060200;;;;;;;759004;Y-6513RM
001;7108000;2025;1;KF;30151041;17.01.2025;04.12.2024;Mitgliedsbeitrag 2025, codeks;S;40;214,20;34010800;;;;N0;;;11090;
001;7108000;2025;1;WA;270000630;17.01.2025;17.01.2025;"KST             20 ST ;";S;81;21,14;32011200;;;;;;;759004;Y-6501RM
001;7108000;2025;1;WA;270000631;17.01.2025;17.01.2025;"KST             20 ST ;";S;81;81,72;33070200;;;;;;;759004;Y-6524RM
001;7108000;2025;1;WA;270000631;17.01.2025;17.01.2025;"KST             20 ST ;";S;81;26,37;33070200;;;;;;;759004;Y-6555RM
001;7108000;2025;1;WA;270000631;17.01.2025;17.01.2025;"KST             20 ST ;";S;81;81,41;33070200;;;;;;;759004;Y-6663RM
001;7108000;2025;1;WA;270000631;17.01.2025;17.01.2025;"KST             20 ST ;";S;81;24,94;33070200;;;;;;;759004;Y-6691RM
001;7108000;2025;1;KP;30151066;20.01.2025;14.01.2025;## Eintritt Hoga-Messe. Kontrollliste erfasst;S;40;60,00;32040500;;;;N0;;;6016848;
001;7108000;2025;1;KF;30151259;20.01.2025;13.01.2025;Neujahrsempfang 2025 BC Unikat, Cologne Promotion;S;40;671,76;34030100;;;;N0;;;864489;
001;7108000;2025;1;KP;30151294;20.01.2025;17.01.2025;Netzwerk Fachkräftegewinng. Bewirtg. am 14.01.25;S;40;71,10;34060400;;;;N0;;;6008051;
001;7108000;2025;1;KP;30151309;20.01.2025;17.01.2025;Neujahrsempfang GNWP;S;40;59,50;31020100;;;;N0;;;6013803;
001;7108000;2025;1;KF;30151413;20.01.2025;02.01.2025;Kooperationsvereinbarung 2025 FSV 63 Luckenwalde;S;40;300,00;31020500;;;;N0;;;826003;
001;7108000;2025;1;WA;270000677;20.01.2025;20.01.2025;"931            195 ST ;U-Heft Hülle aus Filz";S;81;671,59;10061000;;;;;;;759004;Y-6610
001;7108000;2025;1;WA;270000677;20.01.2025;20.01.2025;"931            199 ST ;Schnullerkette aus Makramee";S;81;841,89;10061000;;;;;;;759004;Y-6611
001;7108000;2025;1;WA;270000678;20.01.2025;20.01.2025;"KST              1 ST ;Basecap - Regionales Market";S;81;3,83;10070000;;;;;;;759004;Y-6585RM
001;7108000;2025;1;WA;270000680;20.01.2025;20.01.2025;"KST              1 ST ;";S;81;0,88;932700;;;;;;;759004;Y-6510RM
001;7108000;2025;1;WA;270000722;20.01.2025;20.01.2025;Muster 0820;S;81;3,24;10082000;;;;;;;759004;Y-6506RM
001;7108000;2025;1;WA;270000723;20.01.2025;20.01.2025;Muster 0710;S;81;6,48;10071000;;;;;;;759004;Y-6506RM
001;7108000;2025;1;KF;30161088;21.01.2025;01.01.2025;#9345 Dauerwerbung Cottbus;S;40;433,15;31040000;;;;N0;;;823229;
001;7108000;2025;1;KP;30161117;21.01.2025;20.01.2025;Musikbox als BGF-Ausstattung;S;40;207,49;31020000;;;;N0;;;6023215;
001;7108000;2025;1;KF;30161180;21.01.2025;08.01.2025;Sponsoringvertrag Schwebebahnlauf 2025;S;40;4.760,00;34010800;;;;N0;;;827451;
001;7108000;2025;1;WA;270000750;21.01.2025;21.01.2025;"KST             10 ST ;";S;81;14,50;82000049;;;;;;;759004;Y-6530RM
001;7108000;2025;1;WA;270000753;21.01.2025;21.01.2025;"KST             50 ST ;";S;81;9,68;10062000;;;;;;;759004;Y-6503_BGM
001;7108000;2025;1;WA;270000753;21.01.2025;21.01.2025;"KST             50 ST ;";S;81;30,17;10062000;;;;;;;759004;Y-6523_BGM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST             20 ST ;Baumwolltasche Kampagne RM";S;81;15,00;10063000;;;;;;;759004;Y-6536_KAM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST             20 ST ;USB-Stick 8BG Kampagne RM";S;81;86,87;10063000;;;;;;;759004;Y-6524_KAM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST             50 ST ;Jutesäckchen Kampagne RM";S;81;26,18;10063000;;;;;;;759004;Y-6679_KAM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST             20 ST ;Antistress Ball Kampagne RM";S;81;9,04;10063000;;;;;;;759004;Y-6542_KAM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST             20 ST ;Exklusives Notizbuch A5 Kam";S;81;29,91;10063000;;;;;;;759004;Y-6525_KAM
001;7108000;2025;1;WA;270000755;21.01.2025;21.01.2025;"KST            500 ST ;Einzelkugelschreiber (Deuts";S;81;187,66;10063000;;;;;;;759004;Y-6523DPAG
001;7108000;2025;1;WA;270000756;21.01.2025;21.01.2025;"KST              3 ST ;Erste Hilfe Set - Regionale";S;81;3,96;10070000;;;;;;;759004;Y-6555RM
001;7108000;2025;1;WA;270000756;21.01.2025;21.01.2025;"KST              5 ST ;Haftnotizblock - Reginales";S;81;5,35;10070000;;;;;;;759004;Y-6607RM
001;7108000;2025;1;KF;30163494;22.01.2025;17.01.2025;Beitrag MedEcon 2025;S;40;2.500,00;24500100;;;;N0;;;819361;
001;7108000;2025;1;WA;270000813;22.01.2025;22.01.2025;"KST            100 ST ;";S;81;19,35;10062000;;;;;;;759004;Y-6503_BGM
001;7108000;2025;1;WA;270000813;22.01.2025;22.01.2025;"KST             50 ST ;";S;81;30,17;10062000;;;;;;;759004;Y-6523_BGM
001;7108000;2025;1;WA;270000819;22.01.2025;22.01.2025;"KST            200 ST ;Einkaufswagenchip BGM RM";S;81;41,92;10062000;;;;;;;759004;Y-6551_BGM
001;7108000;2025;1;WA;270000819;22.01.2025;22.01.2025;"KST            100 ST ;Einkaufstasche BGM RM";S;81;80,71;10062000;;;;;;;759004;Y-6537_BGM
001;7108000;2025;1;WA;270000819;22.01.2025;22.01.2025;"KST            100 ST ;Springseil - Firmenfitness";S;81;125,48;10062000;;;;;;;759004;Y-6522_BGM
001;7108000;2025;1;WA;270000819;22.01.2025;22.01.2025;"KST            100 ST ;Snackbecher to go BGM RM";S;81;427,21;10062000;;;;;;;759004;Y-6500_BGM
001;7108000;2025;1;WA;270000820;22.01.2025;22.01.2025;"KST             15 ST ;Snackbecher to go BGM RM";S;81;64,08;10062000;;;;;;;759004;Y-6500_BGM
001;7108000;2025;1;WA;270000820;22.01.2025;22.01.2025;"KST             50 ST ;Springseil - Firmenfitness";S;81;62,74;10062000;;;;;;;759004;Y-6522_BGM
001;7108000;2025;1;WA;270000842;22.01.2025;22.01.2025;"KST              2 ST ;";S;81;0,72;10116000;;;;;;;759004;Y-6513RM
001;7108000;2025;1;KF;30170964;23.01.2025;16.01.2025;PEM Admin Membership Hr. Richter/Hr. Stobbe;S;40;5.664,40;10053000;;;;E6;;;702645;
001;7108000;2025;1;WA;270000860;23.01.2025;23.01.2025;"KST            150 ST ;Basketball - Regionales Mar";S;81;169,24;10070000;;;;;;;759004;Y-6605RM
001;7108000;2025;1;WA;270000862;23.01.2025;23.01.2025;"KST             40 ST ;Springseil - Firmenfitness";S;81;50,19;10062000;;;;;;;759004;Y-6522_BGM
001;7108000;2025;1;WA;270000862;23.01.2025;23.01.2025;"KST             40 ST ;Snackbecher to go BGM RM";S;81;170,89;10062000;;;;;;;759004;Y-6500_BGM
001;7108000;2025;1;KF;30175922;24.01.2025;15.01.2025;#3910, Gesundheitsmesse Blickpunkt 30.01.25;S;40;39,00;33090200;;;;N0;;;865650;
001;7108000;2025;1;WA;270000915;24.01.2025;24.01.2025;"INV              6 ST ;Kugelschreiber, exklusiv-Re";S;81;7,03;800300;;;;;;;759004;Y-6548RM
001;7108000;2025;1;KF;30175897;27.01.2025;13.01.2025;Umschläge f. Neujahrskarten;S;40;105,61;21500300;;;;N0;;;K511109239;
001;7108000;2025;1;KF;30175983;27.01.2025;08.01.2025;#9994, Werbung powervolleys Düren, 1. Rate 2025;S;40;4.462,50;34031300;;;;N0;;;861502;
001;7108000;2025;1;WA;270000978;27.01.2025;27.01.2025;"KST              1 ST ;Babyalbum Softcover";S;81;4,70;10061000;;;;;;;759004;Y-7923
001;7108000;2025;1;WA;270000978;27.01.2025;27.01.2025;"KST              3 ST ;Schnullerkette aus Makramee";S;81;12,69;10061000;;;;;;;759004;Y-6611
001;7108000;2025;1;WA;270000978;27.01.2025;27.01.2025;"KST              2 ST ;U-Heft Hülle aus Filz";S;81;6,89;10061000;;;;;;;759004;Y-6610
001;7108000;2025;1;WA;270001009;27.01.2025;27.01.2025;Muster 0710;S;81;18,47;10071000;;;;;;;759004;Y-6523RM
001;7108000;2025;1;WA;270001013;27.01.2025;27.01.2025;Muster 0820;S;81;18,47;10082000;;;;;;;759004;Y-6523RM
001;7108000;2025;1;KF;30178745;28.01.2025;16.01.2025;Mitgliedsbeitrag 2025 Med+;S;40;1.000,00;34010100;;;;N0;;;819339;
001;7108000;2025;1;KF;30184870;28.01.2025;18.01.2025;Neujahrsempfang BS Unikat, Kinderschminken;S;40;180,00;34030100;;;;N0;;;865664;
001;7108000;2025;1;WA;270001035;28.01.2025;28.01.2025;Muster 0710 Fr Wendler;S;81;6,98;10071000;;;;;;;759004;Y-6506RM
001;7108000;2025;1;KF;30185085;29.01.2025;08.01.2025;#7860 Werbemaßnahme SpVgg. SV Weiden;S;40;1.735,41;32050500;;;;N0;;;854301;
001;7108000;2025;1;KF;30189554;30.01.2025;18.01.2025;Jahresbeitrag Business Club;S;40;630,00;34031600;;;;N0;;;852378;
001;7108000;2025;1;WA;270001157;30.01.2025;30.01.2025;"KST              2 ST ;Babyalbum Softcover";S;81;9,40;10064000;;;;;;;759004;Y-7923
001;7108000;2025;1;WA;270001217;30.01.2025;30.01.2025;"KST              4 ST ;Babyalbum Softcover";S;81;18,80;10064000;;;;;;;759004;Y-7923
001;7108000;2025;1;KF;30192411;31.01.2025;13.01.2025;Mitgliedsbeitrag #9385;S;40;250,00;31010100;;;;N0;;;824578;
001;7108000;2025;1;WA;270001222;31.01.2025;31.01.2025;"KST            200 ST ;Antistress Basketball - Reg";S;81;90,27;10070000;;;;;;;759004;Y-6542RM
001;7108000;2025;1;WA;270001257;31.01.2025;31.01.2025;"KST              2 ST ;";S;81;2,90;82000948;;;;;;;759004;Y-6530RM
001;7108000;2025;2;KF;30184882;01.02.2025;21.01.2025;#4048 Mitgliedschaft B2B NEtzwerk;S;40;2.499,00;33030100;;;;N0;;;856983;
001;7108000;2025;2;KF;30196322;03.02.2025;17.01.2025;#3970, Web de Cologne Mitgliedsbeitrag 2025;S;40;1.963,50;34030100;;;;N0;;;856101;
001;7108000;2025;2;KF;30196327;03.02.2025;31.01.2025;Beitrag Firmenmitgliedschaft 2025;S;40;1.000,00;10132000;;;;N0;;;1692;
001;7108000;2025;2;KF;30196328;03.02.2025;28.01.2025;#3979, Mitgliedsbeitrag 2025 Netzwerk Internatio;S;40;250,00;31051200;;;;N0;;;864282;
001;7108000;2025;2;KP;30196349;03.02.2025;22.01.2025;#9793 Bewirtung Geschäftsessen;S;40;103,93;36051100;;;;N0;;;6023774;
001;7108000;2025;2;KP;30196367;03.02.2025;16.01.2025;#3831, Ingwershots für Aktionen mit Firmen;S;40;135,43;33050100;;;;N0;;;6014559;
001;7108000;2025;2;KF;30196407;03.02.2025;24.01.2025;#4178, Mitgliedsbeitrag bwcon 2025;S;40;6.000,00;33070000;;;;N0;;;844937;
001;7108000;2025;2;KP;30196563;03.02.2025;24.01.2025;Nr. 4097 Maßnahmentool. Geschäftsessen mit Vertret;S;40;140,20;31031400;;;;N0;;;6017293;
001;7108000;2025;2;KF;30196589;03.02.2025;12.01.2025;Aufwärmshirts FCL Herren;S;40;595,00;32070900;;;;N0;;;848507;
001;7108000;2025;2;KF;30196591;03.02.2025;24.01.2025;#3968 Mitgliedsbeitrag Initiative Reinickendorf;S;40;600,00;31010600;;;;N0;;;860610;
001;7108000;2025;2;KF;30196593;03.02.2025;28.01.2025;Werbevereinbarung Rate 2 01/ - 06/25;S;40;5.950,00;10064000;;;;N0;;;864263;
001;7108000;2025;2;KF;30208722;03.02.2025;20.01.2025;Ballsäcke;S;40;39,60;35020400;;;;N0;;;15312;
001;7108000;2025;2;WA;270001277;03.02.2025;03.02.2025;"KST            200 ST ;Einzelkugelschreiber BGM RM";S;81;120,67;10062000;;;;;;;759004;Y-6523_BGM
001;7108000;2025;2;WA;270001280;03.02.2025;03.02.2025;"KST              2 ST ;Babyalbum Softcover";S;81;9,40;10061000;;;;;;;759004;Y-7923
001;7108000;2025;2;WA;270001280;03.02.2025;03.02.2025;"KST              1 ST ;U-Heft Hülle aus Filz";S;81;3,44;10061000;;;;;;;759004;Y-6610
001;7108000;2025;2;WA;270001280;03.02.2025;03.02.2025;"KST              2 ST ;Schnullerkette aus Makramee";S;81;8,46;10061000;;;;;;;759004;Y-6611
001;7108000;2025;2;WA;270001313;03.02.2025;03.02.2025;"KST              1 ST ;";S;81;0,96;82000948;;;;;;;759004;Y-6670RM
001;7108000;2025;2;WA;270001313;03.02.2025;03.02.2025;"KST              3 ST ;";S;81;4,35;82000948;;;;;;;759004;Y-6530RM
001;7108000;2025;2;WA;270001313;03.02.2025;03.02.2025;"KST              1 ST ;";S;81;0,88;82000948;;;;;;;759004;Y-6510RM
001;7108000;2025;2;KF;30171066;04.02.2025;16.01.2025;Logo-Präsenz Webseite;S;40;297,50;10063000;;;;N0;;;865629;
001;7108000;2025;2;KF;30189509;04.02.2025;14.01.2025;#4094, 5 Eintrittskarten Europa-Park 2024;S;40;260,00;33090000;;;;N0;;;816846;
001;7108000;2025;2;KP;30192415;04.02.2025;07.01.2025;Geschäftsessen MSP-Nr. 4015;S;40;75,90;32020100;;;;N0;;;6017307;
001;7108000;2025;2;KP;30202809;04.02.2025;28.01.2025;#4110, Geschäftsessen mit Hr.Lehmann, GF Märkte St;S;40;59,80;33070000;;;;N0;;;6010096;
001;7108000;2025;2;KP;30202809;04.02.2025;28.01.2025;#4109, Geschäftsessen mit Dr. Radicke, GF 360°Kard;S;40;34,85;33070000;;;;N0;;;6010096;
001;7108000;2025;2;KF;30202916;04.02.2025;07.01.2025;#4337 Sponsoring GVO Hallenmaster Girls Oldenburg;S;40;595,00;36051100;;;;N0;;;442347990;
001;7108000;2025;2;KP;30208433;04.02.2025;30.01.2025;#4040, Geschäftsessen mit Marius Cataldo;S;40;60,40;33070200;;;;N0;;;6008984;
001;7108000;2025;2;KP;30208449;04.02.2025;04.02.2025;Erstattung Messekarte;S;40;113,00;32060000;;;;N0;;;6004671;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Jahresbeitrag 2025;S;40;25,00;36030100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Mitgliedsbeitrag und Umlage 2025;S;40;95,00;34031000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Ausbildungsbörse 2025;S;40;100,00;33090500;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbung anlässl.Neujahrsempfang;S;40;300,00;33070900;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbefläche 2025;S;40;119,00;33080300;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#7810_Werbevereinb.Hochschule Mannheim 01/25-06/25;S;40;250,00;33050800;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Mitgliedsbeitrag 2025;S;40;23,80;31051300;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;# 10735 Anzeigenschaltung Gazette;S;40;595,00;33030400;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#11032, BVMW Mitgliedsbeitrag;S;40;595,00;34011300;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Business-Mitgliedschaft 2025;S;40;438,00;34031900;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Bandenwerbung 2025;S;40;297,50;33080700;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#11279 Banner Baskets Limburg 2024/2025;S;40;297,50;33011000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;LinkedIn Premium_HV #ID;S;40;300,85;10062000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Hospitalityleistungen 2025;S;40;1.785,00;33060800;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#11221 Mitgliedsbeitrag BVMW 01-11/25;S;40;654,50;34050100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbemaßnahme Saison 2025;S;40;1.666,00;36011400;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;VIP Dauerkarte/Einzelticket 2024/2025;S;40;2.975,00;36060100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#10860 Basketball;S;40;2.975,00;33030100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbeumlage 01.01.-30.06.2025;S;40;892,50;36010000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Leistungspaket Forenpartnerschaft 2025;S;40;575,17;10131000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#10188 Copetri Convention 2025;S;40;177,31;33030000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbeleistung 2025;S;40;1.487,50;36010000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Vermarktungskosten 01-07/25;S;40;583,32;10064000;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#10387 Jahresbeitrag up Transfer GmbH;S;40;1.983,33;31020100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Basketball Business Seat MHP Riesen;S;40;3.570,00;33071500;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;#11233, Mitgliedschaft WECON Netzwerk Essen;S;40;1.042,44;35040100;;;;N0;;;500000;
001;7108000;2025;2;SG;30208720;04.02.2025;04.02.2025;Werbevereinbarung;S;40;2.891,21;10064000;;;;E8;;;500000;
001;7108000;2025;2;KF;30212558;04.02.2025;28.01.2025;Ticket M365 Summit 2025;S;40;949,14;10550000;;;;N0;;;865719;
001;7108000;2025;2;KF;30178681;05.02.2025;24.01.2025;#4068, Druck für Schulranzentage 17.01.25;S;40;55,93;33070800;;;;N0;;;11185;
001;7108000;2025;2;KF;30189508;05.02.2025;21.01.2025;#10934 VfB Oldenburg Werbevertrag Saison 2024/2025;S;40;1.785,00;36051100;;;;N0;;;820231;
001;7108000;2025;2;KP;30208446;05.02.2025;04.02.2025;#4432, Geschäftsessen mit Personalleiter von IH;S;40;57,20;33071200;;;;N0;;;6015482;
